edad,qx_hombres,qx_mujeres
0,0.00225,0.00165
1,0.00225,0.00165
2,0.00226,0.00165
3,0.00227,0.00165
4,0.00228,0.00165
5,0.0023,0.00165
6,0.00231,0.00165
7,0.00233,0.00166
8,0.00236,0.00166
9,0.00238,0.00166
10,0.00241,0.00167
11,0.00244,0.00168
12,0.00248,0.00168
13,0.00252,0.00169
14,0.00256,0.0017
15,0.0026,0.00171
16,0.00265,0.00172
17,0.0027,0.00174
18,0.00276,0.00175
19,0.00281,0.00177
20,0.00288,0.00179
21,0.00294,0.00181
22,0.00301,0.00183
23,0.00309,0.00185
24,0.00317,0.00188
25,0.00325,0.00191
26,0.00334,0.00194
27,0.00344,0.00197
28,0.00354,0.00201
29,0.00364,0.00205
30,0.00376,0.00209
31,0.00388,0.00213
32,0.004,0.00218
33,0.00414,0.00223
34,0.00428,0.00229
35,0.00443,0.00235
36,0.00459,0.00241
37,0.00476,0.00248
38,0.00494,0.00255
39,0.00514,0.00263
40,0.00534,0.00272
41,0.00556,0.00281
42,0.00579,0.00291
43,0.00603,0.00302
44,0.00629,0.00313
45,0.00656,0.00325
46,0.00685,0.00339
47,0.00717,0.00353
48,0.0075,0.00368
49,0.00785,0.00385
50,0.00822,0.00403
51,0.00862,0.00423
52,0.00905,0.00444
53,0.0095,0.00467
54,0.00998,0.00491
55,0.0105,0.00518
56,0.01105,0.00547
57,0.01164,0.00579
58,0.01227,0.00614
59,0.01294,0.00652
60,0.01365,0.00693
61,0.01442,0.00738
62,0.01524,0.00787
63,0.01612,0.00841
64,0.01706,0.009
65,0.01807,0.00964
66,0.01915,0.01035
67,0.02031,0.01114
68,0.02155,0.012
69,0.02289,0.01295
70,0.02432,0.014
71,0.02585,0.01516
72,0.0275,0.01645
73,0.02928,0.01787
74,0.03119,0.01945
75,0.03324,0.02121
76,0.03544,0.02317
77,0.03781,0.02534
78,0.04036,0.02777
79,0.04311,0.03049
80,0.04606,0.03352
81,0.04924,0.03691
82,0.05267,0.04071
83,0.05635,0.04497
84,0.06032,0.04975
85,0.06459,0.05511
86,0.06919,0.06113
87,0.07413,0.06789
88,0.07945,0.07549
89,0.08517,0.08402
90,0.09132,0.09359
91,0.09793,0.10433
92,0.10503,0.11636
93,0.11265,0.12982
94,0.12083,0.14485
95,0.12958,0.16159
96,0.13896,0.18019
97,0.14898,0.20076
98,0.15968,0.22344
99,0.1711,0.24829
100,0.18326,0.27538
101,0.19619,0.30471
102,0.20991,0.33622
103,0.22444,0.36979
104,0.2398,0.40523
105,0.25599,0.44225
106,0.27302,0.48051
107,0.29087,0.51958
108,0.30955,0.55899
109,0.32901,0.59824
110,1.0,1.0
